,Sentence,Technique
4330,"a Pope who, as a prominent cardinal declares to the whole world, “fail[s] to maintain and transmit faithfully … the deposit of faith contained in Sacred Tradition and Sacred Scripture” and is leading “an apostasy from the truth",Doubt
4332,It seems absurd,Loaded_Language
4333,wreaking havoc upon faith and morals,Loaded_Language
4334,to the detriment of countless souls,Hyperbole
4335,to end his rampage,Loaded_Language
4336,during the height of the worst crisis in her history,Hyperbole
4337,cunning,Loaded_Language
4338,"This is how abusers talk. They’re not content with power; they have to keep their victims doubting and blaming themselves constantly, so they don’t become a threat. Whether Francis knows it or not, this is how he sounds",Doubt
4339,But he is not making it easy. I am not saying he is an abuser. But he sounds like one,Doubt
4340,utterly,Loaded_Language
4341,unspeakable,Loaded_Language
4342,this is one of the great scandals in the history of our country,Hyperbole
4345,a brazen abuse of power,Loaded_Language
4346,has been blasting,Loaded_Language
4347,endless fodder,Hyperbole
4349,"The authors of the letter even lie about the nature of the broad-based request, claiming Trump is selectively declassifying information to save himself",Doubt
4352,one of the “crowning achievements” of his presidency,Loaded_Language
4353,this might be the most important thing,Hyperbole
4354,who nobody even knew,Hyperbole
4355,used Carter Page as a foil,Loaded_Language
4358,"Although the conspiracy theory is baseless nonsense, it continues to dog the Trump administration",Loaded_Language
4360,prove a political masterstroke,Loaded_Language
4362,so much leftist dirt,Loaded_Language
4363,shameful un-American plot,Loaded_Language
4364,something cryptic,Loaded_Language
4365,Trump’s nefarious links to Russia,Loaded_Language
4366,and let the chips fall where they may,Loaded_Language
4367,hailed Trump’s order,Loaded_Language
4368,alarmed at the prospect of being exposed as frauds and publicly humiliated,Loaded_Language
4369,an attempt to usurp the powers vested in the president,Loaded_Language
4370,to defy the presidential directive,Loaded_Language
4371,got the axe,Loaded_Language
4372,canned,Loaded_Language
4374,"What we’ve done is a great service to the country, really",Jingoism
4375,"hoax, beyond a witch hunt",Hyperbole
4377,profound alarm,Loaded_Language
4379,are in panic mode,Loaded_Language
4384,"The US President wants every American citizen to see the full, unredacted version of the FISA documents used to spy on Carter Page",Jingoism
4385,the hoax that was and is Trump-Russia collusion,Loaded_Language
4386,"are doing everything in their power to make sure the truth, about how the FISA warrant to spy on Carter Page was obtained, remains hidden from the eyes of the American public",Jingoism
4390,demanding that the agencies defy President Trump,Loaded_Language
4392,malicious agenda,Loaded_Language
4393,as weak and ridiculous as they are,Loaded_Language
4394,hurl the wild claims like a grenade,Loaded_Language
4396,obviously unbalanced the accuser is,Loaded_Language
4397,obscene and violent,Loaded_Language
4398,hoping to torpedo President Trump’s agenda,Loaded_Language
4399,her lawyer is “even loonier,Doubt
4400,never-credible accusations of sexual abuse,Doubt
4405,utter nonsense,Loaded_Language
4406,she is going to look like the loon she is,Doubt
4407,look like the loon she is,Loaded_Language
4408,even loonier,Loaded_Language
4410,an excellent job destroying herself,Loaded_Language
4411,high-stakes behind-the-scenes jockeying,Loaded_Language
4413,Without a shred of evidence,Hyperbole
4414,being smeared,Loaded_Language
4416,I worry about this country,Jingoism
4418,bent over backwards,Loaded_Language
4419,What is happening in the Brett Kavanaugh nomination process should concern every American,Jingoism
4420,scatter like mice,Loaded_Language
4421,shatter her credibility,Loaded_Language
4422,I fear for this nation when this is now the standard,Jingoism
4423,Why not Monday? Does she have an important dentist appointment she can't get out of,Doubt
4425,even a mediocre defense attorney could shatter her credibility within minutes under cross-examination,Doubt
4426,they're zealous,Loaded_Language
4427,I don’t care who you are,Loaded_Language
4429,"overestimating the integrity of the ""supportive"" lawmakers and lawyers currently handling her",Doubt
4432,"If this had been such a pivotal moment for her, how could she have forgotten any those facts",Doubt
4433,In no circumstance in the country does that happen,Jingoism
4434,You didn’t give a damn back then,Loaded_Language
4436,flimsy and meritless accusations,Hyperbole
4437,It’s absurd,Loaded_Language
4438,Oh my gosh,Loaded_Language
4439,lashed out,Loaded_Language
4440,"You, Dicky Durban [sic], are a complete FRAUD",Doubt
4442,I’ve found every single piece of information,Hyperbole
4443,flimsy and meritless,Loaded_Language
4444,complete FRAUD,Loaded_Language
4445,act like children,Loaded_Language
4446,They kick and scream and lie and pout,Loaded_Language
4448,such a pathetic attempt at a smear campaign,Loaded_Language
4450,ambiguous-at-best,Hyperbole
4452,what on Earth,Loaded_Language
4455,"taken together as a whole, it’s far too suspicious to lend it any credibility",Doubt
4457,crawls out,Loaded_Language
4458,Way to go,Loaded_Language
4459,Women everywhere should be furious,Hyperbole
4462,Everything else is just noise,Hyperbole
4464,devastating,Loaded_Language
4465,bent over backwards,Loaded_Language
4466,This charade,Loaded_Language
4467,worse than a travesty,Hyperbole
4468,completely destroy Judge Kavanaugh’s life,Hyperbole
4469,pulling out all the stops,Loaded_Language
4470,suddenly emerged from left field,Loaded_Language
4472,ready to pounce,Loaded_Language
4474,continue to bludgeon,Loaded_Language
4481,smears,Loaded_Language
4482,What we do know so far tends to undercut the credibility of Ms. Ford’s accusation,Doubt
4483,Whatever corroboration Ms. Ford was hoping for from “witnesses” she claimed were at the alleged party is non-existent,Doubt
4484,The only problem with Dr. Friedman’s thesis is that Ms. Ford has apparently forgotten such key details surrounding the alleged sexual assault as when and where it happened and how she got home,Doubt
4485,she doubts Judge Kavanaugh’s credibility because of “how he approaches his cases,Doubt
4486,turns the fundamental constitutional principle of due process upside down,Jingoism
4487,"In a nation guided by fairness and law, a person is innocent until proven guilty",Jingoism
4489,materialized out of thin air,Loaded_Language
4490,"Suspiciously, Ford can’t –or won’t— say when or where the alleged incident happened and can provide few details",Doubt
4491,gaming the system,Loaded_Language
4492,Give left-wingers an inch and they’ll take a mile,Hyperbole
4494,smear,Loaded_Language
4496,exactly a zero percent chance,Hyperbole
4497,the lame-duck,Loaded_Language
4498,reeks of,Loaded_Language
4499,customary preemptive cringe,Loaded_Language
4501,find the stomach to put an end to the farce,Loaded_Language
4502,a grotesque inversion,Loaded_Language
4504,stooped so low with these smears,Loaded_Language
4505,to beclown themselves on,Loaded_Language
4506,obviously partisan and hypocritical,Loaded_Language
4508,who was savaged,Loaded_Language
4509,stop feeding the alligator in the hopes that you will be eaten last,Loaded_Language
4510,"amoral, unfair, or vicious",Loaded_Language
4513,naked ploy,Loaded_Language
4515,is squeal,Loaded_Language
4517,bullying deadlines,Loaded_Language
4518,vehemently denies,Loaded_Language
4520,preposterous conditions,Loaded_Language
4522,our bedrock principle that an accused has the right to confront his accuser’s charges,Jingoism
4527,"every accusation of sexual assault, no matter how much it’s unsupported by corroborating evidence or even plausibility, must be believed",Hyperbole
4528,feral sexuality,Loaded_Language
4529,sexual predators,Loaded_Language
4531,politically suicidal,Loaded_Language
4534,cavalier treatment,Loaded_Language
4535,demonizing them,Loaded_Language
4537,confirmation circuses,Loaded_Language
4542,they will demonize,Loaded_Language
4543,shoot the alligator,Loaded_Language
4544,Her own details of the event don’t jibe (Four boys or three? One girl or two,Doubt
4545,why has Grassley so far allowed himself to be played by the Dems,Doubt
4546,dubious ideology and dishonest narrative,Loaded_Language
4548,farce,Loaded_Language
4550,ridiculous and from the Twilight Zone,Loaded_Language
4552,slammed,Loaded_Language
4557,freaked out,Loaded_Language
4558,Ford is lying or suffering from some kind of psychological disorder such as false memory syndrome,Doubt
4560,You can kiss the MIDTERMS goodbye,Loaded_Language
4561,drastically altered my life,Loaded_Language
4562,mud Democrats have been slinging at,Loaded_Language
4564,have materialized out of thin air,Loaded_Language
4566,battens down the hatches,Loaded_Language
4569,"Avenatti is a third rate lawyer who is good at making false accusations, like he did on me and like he is now doing on Judge Brett Kavanaugh",Doubt
4573,categorically and unequivocally deny,Loaded_Language
4574,I am terrified,Loaded_Language
4581,a 4-page bombshell,Loaded_Language
4582,How can one avoid concluding that the reason they do not provide the documentation is that they know it confirms my testimony,Doubt
4583,voice crying in the wilderness,Loaded_Language
4584,for that martyr Church,Loaded_Language
4585,"I wish to encourage you, dear faithful, my brothers and sisters in Christ",Jingoism
4586,the most courageous prelate in the Church today—Archbishop Carlo Maria Viganò,Hyperbole
4590,standing against something so much worse than Liberius,Hyperbole
4591,the most dangerous pontificate in history,Hyperbole
4592,the forces of hell itself,Loaded_Language
4593,Archbishop Viganò is fighting for the very survival of the human element of the Catholic Church,Hyperbole
4594,wish him every blessing and heavenly consolation as he undergoes this passion for the sake of the Master he serves so well,Loaded_Language
4595,the most painful and serious decision that I have ever made in my life,Hyperbole
4596,"during months of profound suffering and anguish, during a crescendo of continual news of terrible events, with thousands of innocent victims destroyed and the vocations and lives of young priests and religious disturbed",Hyperbole
4597,a devastating crime for the Church,Loaded_Language
4598,shocking facts,Loaded_Language
4599,how perverse and evil,Loaded_Language
4601,"Now, the pope’s reply to my testimony was: “I will not say a word!” But then, contradicting himself, he has compared his silence to that of Jesus in Nazareth and before Pilate",Doubt
4602,But how can journalists discover and know the truth if those directly involved with a matter refuse to answer any questions or to release any documents,Doubt
4603,"Many more instances have recently been documented in the press, showing that Pope Francis has defended homosexual clergy who committed serious sexual abuses against minors or adults",Doubt
4604,The faithful deserve to know,Jingoism
4608,"Make your own the act of faith and complete confidence in Christ Jesus, our Savior, of Saint Paul in his second Letter to Timothy, Scio cui credidi, which I choose as my episcopal motto. This is a time of repentance, of conversion, of prayers, of grace, to prepare the Church, the bride of the Lamb, ready to fight and win with Mary the battle against the old dragon",Jingoism
4611,profound suffering and anguish,Loaded_Language
4612,crescendo of continual news of terrible events,Loaded_Language
4613,"instead of taking the measures that every good pastor would have taken, the pope made McCarrick one of his principal agents in governing the Church, in regard to the United States, the Curia, and even China, as we are seeing these days with great concern and anxiety for that martyr Church",Doubt
4614,The pope’s unwillingness to respond to my charges and his deafness to the appeals by the faithful for accountability are hardly consistent with his calls for transparency and bridge building,Doubt
4615,did the pope refuse to carry out a Vatican investigation into McCarrick’s crimes and of those responsible for covering them up,Doubt
4616,constitution-hating and tyrannical tendencies,Loaded_Language
4617,a mudslinging orgy of victim shaming and kangaroo courts,Loaded_Language
4618,it is just fine and dandy,Loaded_Language
4621,to be executed over the sex abuse allegations,Loaded_Language
4622,his record indicates that he all but cannot stand the Fourth and he’s not that big a fan of the First either,Doubt
4623,he shouldn’t even be in this position based solely on his previous record,Doubt
4624,Seriously,Loaded_Language
4625,The only question is will the Senate confirm one who is really bad on the #4thAmendment,Doubt
4626,blindly supporting him,Loaded_Language
4628,Unleashes Firestorm,Loaded_Language
4629,relentless assault,Loaded_Language
4630,"I hope the American people can see through this sham, that you knew about it and you held it",Jingoism
4631,blasted Democrats for their attacks on him,Loaded_Language
4632,sham,Loaded_Language
4633,"Boy, y'all want power. Boy, I hope you never get it",Loaded_Language
4634,"Most Unethical Sham"" Since He's Been In Politics",Hyperbole
4635,believing every word of Dr. Christine Ford without any evidence,Hyperbole
4637,the most unethical sham since I've been in politics,Hyperbole
4638,been through hell,Loaded_Language
4639,through hell and then some,Loaded_Language
4641,Sham,Loaded_Language
4642,What you want to do is destroy this guy's life,Hyperbole
4644,sham,Loaded_Language
4645,total sham,Loaded_Language
4646,ridiculous overall story,Loaded_Language
4647,I hope the American people can see through this sham,Jingoism
4648,circus atmosphere,Loaded_Language
4650,"this is worse than Robert Bork, and I didn't think it could get any worse than that. This is worse than Clarence Thomas. I didn't think it could get any worse than that. This is a national disgrace, the way you're being treated",Hyperbole
4651,"This is a national disgrace, the way you're being treated",Jingoism
4653,sham,Loaded_Language
4656,trembled with righteous indignation,Loaded_Language
4657,last-minute smears,Loaded_Language
4659,"“Hard to do much else when the witness conveniently has no corroborating evidence, no memory of any verifiable facts of what happened, and everyone she says was present at the alleged incident--even her best friend--has denied it.”",Doubt
4660,cried out for vigorous cross-examination,Loaded_Language
4661,lobbing her softballs,Loaded_Language
4662,Ford has a bad long-term memory and a bad short-term memory,Doubt
4663,going rogue,Loaded_Language
4664,the most unethical sham since I've been in politics,Hyperbole
4666,"Boy, you all want power",Loaded_Language
4667,the most despicable thing I have seen in my time in politics,Hyperbole
4668,I hope you never get it,Loaded_Language
4669,the worst in our politics,Hyperbole
4670,porn star lawyers with facially implausible claims,Doubt
4671,Kavanaugh stole the show,Loaded_Language
4673,Afraid of their own shadows,Loaded_Language
4674,is there a political motivation for your coming forward with your account of the assault by Brett Kavanaugh,Doubt
4676,"If they're really concerned with going to the truth, why wouldn't you want to talk to the accused",Doubt
4677,stonewalling,Loaded_Language
4678,sham,Loaded_Language
4679,good riddance,Loaded_Language
4680,is being ripped apart,Loaded_Language
4681,without a shred of evidence,Hyperbole
4682,Perhaps Arizona will put someone in that actually has a spine rather than living up to Senator Flake's name,Doubt
4683,appeared stunned,Loaded_Language
4685,"This country is being ripped apart here, and we've got to make sure we do due diligence",Jingoism
4686,that actually has a spine,Loaded_Language
4688,blasted Senate Democrats,Loaded_Language
4689,public relations disaster,Loaded_Language
4690,slander a man's character,Loaded_Language
4691,political hit,Loaded_Language
4692,"Of course, she was part of it",Loaded_Language
4693,her story didn't exactly lend credibility,Doubt
4695,to destroy Brett Kavanaugh,Loaded_Language
4696,to destroy Trump's nomination for the Supreme Court,Loaded_Language
4698,Ford obviously has mental issues and that was on display on Thursday during her testimony,Doubt
4699,absolutely no evidence,Hyperbole
4702,promotes baby murder and other unlawful actions,Hyperbole
4703,She wasn't angry it was made public. Why,Doubt
4704,but did she go to local law enforcement,Doubt
4705,smear,Loaded_Language
4706,more of a circus than it already is,Loaded_Language
4707,Temper Tantrum,Loaded_Language
4708,temper tantrums,Loaded_Language
4709,Absolutely nothing will be found,Hyperbole
4710,huge waste of time,Hyperbole
4711,political hit,Loaded_Language
4712,slanderous,Loaded_Language
4714,even bigger disaster,Loaded_Language
4716,one of the worst swamp creatures in D.C,Hyperbole
4717,swamp,Loaded_Language
4718,American culture,Jingoism
4720,meshed nicely,Loaded_Language
4721,same old failed politics,Loaded_Language
4723,worst swamp creatures,Loaded_Language
4724,willfully ignorant McMaster crowd,Loaded_Language
4725,Dina Powell is everything that was wrong with the Bush administration,Hyperbole
4727,suffered,Loaded_Language
4728,swamp,Loaded_Language
4729,devastating,Loaded_Language
4731,pals,Loaded_Language
4732,failed incoherent,Loaded_Language
4734,enemedia,Loaded_Language
4735,blunt,Loaded_Language
4736,Americans,Jingoism
4737,sordid,Loaded_Language
4738,willfully ignorant,Loaded_Language
4740,"Again, and I have asked this before, how do you fight the Deep State by putting Deep State operatives in these positions?",Doubt
4741,How do you drain the swamp by adding to it?,Doubt
4742,anti-American,Jingoism
4743,shocking death,Loaded_Language
4744,emergency,Loaded_Language
4745,rush,Loaded_Language
4746,hopped,Loaded_Language
4747,“severe”,Loaded_Language
4748,tortured and killed,Loaded_Language
4749,severe,Loaded_Language
4751,an “assault” on the nation,Jingoism
4752,the strongest,Hyperbole
4753,onslaught,Loaded_Language
4754,OUR SOUTHERN BORDER!,Jingoism
4755,the United States,Jingoism
4756,the strongest,Hyperbole
4757,onslaught,Loaded_Language
4758,assault,Loaded_Language
4759,onslaught,Loaded_Language
4760,OUR SOUTHERN BORDER!”,Jingoism
4761,our country,Jingoism
4762,our Southern Border,Jingoism
4763,violent,Loaded_Language
4764,endemic violence,Loaded_Language
4765,the strongest,Hyperbole
4766,onslaught,Loaded_Language
4767,assault,Loaded_Language
4769,American's,Jingoism
4770,disaster,Loaded_Language
4771,our country,Jingoism
4772,because no one wants to be gay and black,Hyperbole
4773,"no one looks in the mirror and thinks, ‘this black thing is too easy, let me just add another thing to it",Hyperbole
4774,none of his remarks were offensive,Hyperbole
4775,"The message they were trying to send with the event was opposite to the jokes he was making, and using people’s ethnicity as the crux of his jokes could be funny but still offensive...He definitely wasn’t the most crass comedian I’ve ever heard but for the event it was inappropriate",Doubt
4776,demonizing people,Loaded_Language
4777,the biggest terror threat in this country is white men,Hyperbole
4778,the absurdity,Loaded_Language
4780,"Nah, it’s just CNN doing what CNN does… spewing more fake news for your viewing pleasure",Doubt
4781,thought it would be fun,Loaded_Language
4783,Stop Demonizing People,Loaded_Language
4784,Talk about an absolute hypocrite,Loaded_Language
4785,How can he contradict himself like that and not even bat an eyelid,Doubt
4786,gotten incredible help along the way,Hyperbole
4787,demonizing people,Loaded_Language
4788,the biggest terror threat in this country is white men,Hyperbole
4789,to demonize,Loaded_Language
4790,the biggest terror threat,Hyperbole
4792,demonizing,Loaded_Language
4793,Demonizing,Loaded_Language
4794,Demonizing,Loaded_Language
4796,"There, I said it",Loaded_Language
4797,utterly insane,Loaded_Language
4798,"is “a progressive” who is “a part of the crazy, crazy, crazies",Hyperbole
4800,useful idiot,Loaded_Language
4801,completely undercut,Loaded_Language
4802,to appeal to white guilt,Loaded_Language
4803,Good luck with that,Loaded_Language
4805,"Gillum is not a lawful man as he does not support the right to keep and bear arms, but rather considers Americans as criminals who need to prove their innocence before obtaining a gun",Jingoism
4807,the utter racism of Smith,Loaded_Language
4808,This is a f***ed up state,Loaded_Language
4809,It’s a cracker state,Loaded_Language
4810,Cracks Racist Joke,Loaded_Language
4811,"how mean, nasty and evil they have been",Loaded_Language
4812,that’s childish,Loaded_Language
4813,and every person with dark skin on the planet,Hyperbole
4814,kick them in the shins,Loaded_Language
4815,What was even more amazing,Hyperbole
4818,Disgusting,Loaded_Language
4820,"Trump's base is all that energized, it seems pretty energetic to me",Loaded_Language
4821,have only furthered their outrage at the establishment,Loaded_Language
4822,that's just my gut feeling,Loaded_Language
4823,good people of Massachusetts do us all a favor and elect someone else in her place?,Doubt
4824,"The Senate's own rules prohibit this kind of behavior, but will the Senate hold these women to the standard they've set",Doubt
4825,Could the good people of Massachusetts do us all a favor and elect someone else in her place,Jingoism
4826,bite you,Loaded_Language
4828,Evil Doings Of Israel,Loaded_Language
4829,she will cruise to victory,Loaded_Language
4830,hypnotized,Loaded_Language
4831,Israel has hypnotized the world,Hyperbole
4833,evil doings,Loaded_Language
4835,hateful views,Loaded_Language
4838,the Left hates America,Loaded_Language
4839,hysterical hyperbole,Loaded_Language
4843,paralleled Jews with termites,Loaded_Language
4844,"I absolutely, unqualifiedly denounce and reject the views of Louis Farrakhan",Hyperbole
4845,his views and mine were absolutely incompatible,Hyperbole
4846,to pull an Obama,Loaded_Language
4847,Murder and lying comes easy for white people,Hyperbole
4848,praised him,Loaded_Language
4849,praised him,Loaded_Language
4850,"Yeah, right, Hakim",Loaded_Language
4851,"absolutely, unqualifiedly denounce and reject",Loaded_Language
4852,hopping-mad,Loaded_Language
4853,"put out their scorecard and for some, it will be eye-opening",Loaded_Language
4855,riding on the line,Loaded_Language
4856,"an incredibly powerful, motivating issue in politics",Hyperbole
4857,up for grabs,Loaded_Language
4858,an ace up our proverbial sleeve,Loaded_Language
4859,have been overwhelmingly elected,Hyperbole
4860,"unfortunately, in reality neither one is worth celebrating",Doubt
4861,vendetta against,Loaded_Language
4862,"no country, not one",Hyperbole
4864,is even more hateful than Tlaib,Hyperbole
4865,hypnotized,Loaded_Language
4866,the evil doings of Israel,Loaded_Language
4867,she doubled down and attacked,Loaded_Language
4868,"You are a hateful sad man, I pray to Allah you get the help you need and find happiness",Doubt
4869,"There is much, much worse about Omar",Hyperbole
4870,the increasing balkanization,Loaded_Language
4871,overwhelmingly,Loaded_Language
4872,triumphs of America’s “diversity,Jingoism
4873,"For me, U.S. aid should be leverage. I will be using my position in Congress so that no country, not one, should be able to get aid from the U.S. when they still promote that kind of injustice",Jingoism
4875,extraordinary work,Loaded_Language
4876,steadfastly ignored,Loaded_Language
4877,Blatant MI6 Lies,Loaded_Language
4879,the most astonishing thing I have witnessed in my lifetime,Hyperbole
4881,pathetically failed attempt,Loaded_Language
4882,to curry favour,Loaded_Language
4883,"That supposedly great newspaper titles like the Guardian, New York Times and Washington Post are involved in the spreading of lies to damage Assange, and are seeking his imprisonment for publishing state secrets, is clear evidence that the idea of the “liberal media” no longer exists in the new plutocratic age. The press are not on the side of the people, they are an instrument of elite control",Doubt
4884,churn out its production line of fake documents,Loaded_Language
4885,By a wonderful coincidence of timing,Loaded_Language
4890,Previously Harding and the Guardian have published documents faked by the Moreno government regarding a diplomatic appointment to Russia for Assange of which he had no knowledge. Now they follow this up with more documents aimed to provide fictitious evidence to bolster Mueller’s pathetically failed attempt to substantiate the story that Russia deprived Hillary of the Presidency,Doubt
4891,"The right wing Ecuadorean government of President Moreno continues to churn out its production line of fake documents regarding Julian Assange, and channel them straight to MI6 mouthpiece Luke Harding of the Guardian",Doubt
4892,probably the world’s greatest expert on electronic surveillance,Hyperbole
4893,"I knew the US security services were conducting a fake investigation the moment it became clear that the FBI did not even themselves look at the DNC servers, instead accepting a report from the Clinton linked DNC “security consultants” Crowdstrike",Doubt
4894,this massive “Big Lie,Hyperbole
4899,"But to see the partisans of the defeated candidate (and a particularly obnoxious defeated candidate) manipulate the security services and the media to create an entirely false public perception, in order to attempt to overturn the result of the US Presidential election, is the most astonishing thing I have witnessed in my lifetime",Doubt
4902,and has done more to bring the crimes of governments to light than the mainstream media will ever be motivated to achieve,Hyperbole
4904,"Luke Harding, the Guardian, Washington Post and New York Times have been publishing a stream of deliberate lies, in collusion with the security services",Doubt
4905,to trigger,Loaded_Language
4906,Cracks Racist Joke,Loaded_Language
4907,just how evil and awful,Loaded_Language
4908,hypocritically toeing,Loaded_Language
4909,"Childish, indeed. Insulting, indeed",Loaded_Language
4910,kick them in the shins,Loaded_Language
4911,rather extraordinarily,Loaded_Language
4912,"Sorry Hillary, we don’t think they look anything alike. Or did you mean all black people",Doubt
4913,concludes so eloquently,Loaded_Language
4914,dismissed in disgrace,Loaded_Language
4918,America has never been a democracy,Doubt
4919,blasted,Loaded_Language
4920,Satan seeks to divide Muslims,Loaded_Language
4921,he assimilates with,Loaded_Language
4922,Death to America,Loaded_Language
4924,to “rush” the border,Loaded_Language
4925,clustered around,Loaded_Language
4927,arduous trip,Loaded_Language
4928,sheer,Loaded_Language
4930,We need people in our country,Jingoism
4931,sheer,Loaded_Language
4932,President Trump has initiated the military to protect our border from the invading migrants,Jingoism
4933,will overtake the border,Loaded_Language
4934,suppress them with brutal force,Loaded_Language
4935,invading,Loaded_Language
4936,razor-sharp,Loaded_Language
4937,sheer,Loaded_Language
4938,beautiful,Loaded_Language
4939,beautiful sight,Loaded_Language
4946,You whip ’em up,Loaded_Language
4947,"What we found in the Gillum campaign was just what we found in Missouri, Tennessee and Arizona, a candidate lying to the voters he needs to win the election",Doubt
4948,are f***ed up,Loaded_Language
4949,Whip up” the poor into a “frenzy,Loaded_Language
4950,whip them up into a frenzy,Loaded_Language
4951,whip ’em up,Loaded_Language
4952,whip up,Loaded_Language
4954,Gillum Makes Promises He Can’t Keep,Doubt
4955,You have to whip them up into a frenzy in order for them to vote,Hyperbole
4957,to appeal to white guilt,Loaded_Language
4958,Gillum campaign makes promises it knows it can’t keep,Doubt
4959,reveals Gillum cannot fulfill his campaign promises even if he wanted to,Doubt
4960,"When asked how Gillum would fund all the programs he says he wants to fund, Smith says Gillum “can’t",Doubt
4961,Smith explains that most of Gillum’s campaign promises could never be implemented,Doubt
4962,"So, let’s go back to Mr. Gillum’s platform, right? Raise the corporate tax in Florida from 7 to 11 percent. That will never happen. Raise teacher’s pay to $50,000, that will never happen. Give me another position. Medicare for all, that will never happen",Doubt
4963,Whip up” the poor into a “frenzy in order for them to vote,Hyperbole
4966,"You whip ’em up. The poor, the middle income. You have to whip them up into a frenzy in order for them to vote",Hyperbole
4967,needs to appeal to “white guilt,Loaded_Language
4968,you are way out of left field,Loaded_Language
4970,Gillum had to campaign on values he does not really believe,Doubt
4976,But I don’t think he can say it just [be]cause he’s trying to get the moderates and the gun-toting people in North Florida,Doubt
4978,F***ed up,Loaded_Language
4981,The rules in Florida are f***ed up,Loaded_Language
4983,"if Gillum is elected, none of the things outlined in his platform would happen. He says that “that’s not for [voters] to know",Doubt
4984,"Not for voters to know"" programs won't happen",Doubt
4985,"You whip 'em up. The poor, the middle income. You have to whip them up into a frenzy in order for them to vote",Hyperbole
4986,to appeal to white guilt,Loaded_Language
4989,But I don’t think he can say it just [be]cause he’s trying to get the moderates and the gun-toting people in North Florida,Doubt
4991,wall-to-wall coverage in the media eviscerating Gilllum,Loaded_Language
4993,"a ""F***ed up"" ""cracker state",Loaded_Language
4994,racial slur,Loaded_Language
4995,"Say, ‘Hola’ To Trump’s RAZOR Wire",Loaded_Language
4996,migrants taunting security forces,Loaded_Language
4998,They couldn’t have been more wrong,Hyperbole
4999,knocked out,Loaded_Language
5000,border-crashers,Loaded_Language
5001,No evidence of fraud in #FloridaElection,Doubt
5002,"Why she wasn't fired a long time ago is beyond anyone's ability to answer, but Broward County election supervisor Brenda Snipes has resigned amid what is clearly voter fraud that she oversaw",Doubt
5003,"full of botched elections, legal disputes and blistering criticism",Loaded_Language
5004,passion and honor,Loaded_Language
5005,She should be ready for prison bars after the fiasco she has created,Hyperbole
5006,"Now that federal prosecutors have gotten involved, perhaps it's time to quit talking about it and actually arrest this woman and charge her with crimes against the people of Broward County before more people end up dead in Broward County over their corrupt voting practices",Jingoism
5007,tumultuous election,Loaded_Language
5008,fiasco,Loaded_Language
5009,"a county whose supervisor of elections has a history of losing ballots and breaking laws by allowing illegal immigrants and felons to vote, as well as illegally destroying ballots",Jingoism
5010,"She ignored a court order, mixed invalid provisional ballots in with valid ones, and destroyed ballots, but don't worry, a Democrat attorney says that doing so has nothing to do with fraud or corruption",Doubt
5011,We need people in our country,Jingoism
5012,what appears to be voter fraud and election meddling and manipulation,Loaded_Language
5014,GOP wants to Florida and Georgia stolen,Jingoism
5015,"Some people point to Brenda Snipes, Broward’s Elections chief, for her troubling history of election transgressions",Doubt
5016,Democratic ineptitude or deception,Loaded_Language
5017,"It looks like Democrats may have hurt their own interests by misleading their voters. They may have believed that they were supplying the correct information, but they still should not have altered official documents without verifying that they were right, which they weren’t",Doubt
5018,Have you ever heard of a close election in which a recount and “found” ballots gave the Republican victory,Doubt
5019,This is a disgrace,Loaded_Language
5021,back in play,Loaded_Language
5022,Mayor Gillum conceded on Election Day and now Broward County has put him ‘back in play.’ Bill Nelson conceded Election — now he’s back in play,Doubt
5023,This is an embarrassment to our County and to Democracy,Jingoism
5024,It is high time,Loaded_Language
5025,on a massive scale,Hyperbole
5026,the Democrats are likewise working feverishly to overturn the will of the people,Jingoism
5027,"They are insane in their lust for power, and will destroy even our democratic system to get it",Hyperbole
5028,Republicans have pointed to embattled Broward Elections chief Brenda Snipes’ record of past election gaffes in arguing that the largely Democratic country is tilted against them — perhaps fraudulently so,Doubt
5030,past election gaffes,Loaded_Language
5031,point the finger,Loaded_Language
5032,massive,Loaded_Language
5034,insane,Loaded_Language
5036,Climb Atop Fencing Effortlessly,Loaded_Language
5037,climbing effortlessly,Loaded_Language
5038,"The Guardian, an otherwise solid and reliable paper, has such a pervasive and unprofessionally personal hatred for Julian Assange that it has frequently dispensed with all journalistic standards in order to malign him",Doubt
5040,demonising,Loaded_Language
5041,aggressively exploited,Loaded_Language
5042,"According to Greenwald: “If Paul Manafort … visited Assange at the Embassy, there would be ample amounts of video and other photographic proof demonstrating that this happened. The Guardian provides none of that",Doubt
5043,"It appears the Guardian has simply taken this story, provided by spooks, at face value. Even if it later turns out that Manafort did visit Assange, the Guardian clearly had no compelling evidence for its claims when it published them. That is profoundly irresponsible journalism – fake news – that should be of the gravest concern to readers",Doubt
5044,especial venom,Loaded_Language
5047,apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned,Doubt
5050,vilification,Loaded_Language
5051,long-running vilification,Loaded_Language
5053,is so full of holes that even hardened opponents of Assange in the corporate media are struggling to stand by it,Hyperbole
5054,"Faced with the backlash, the Guardian quickly – and very quietly – rowed back its initial certainty that its story was based on verified facts. Instead, it amended the text, without acknowledging it had done so, to attribute the claims to unnamed, and uncheckable, “sources",Doubt
